event	optional_campaign_key	culture	optional_subculture	text	image	icon	sound_event
#message_event_strings_tables;3;db/message_event_strings_tables/DeI_message_event_strings							
custom_event_100		rom_Barbarian		reforms_polybian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_100		rom_Eastern		reforms_polybian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_100		rom_Hellenistic		reforms_polybian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_100		rom_Roman		reforms_polybian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_200		rom_Barbarian		reforms_polybian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_200		rom_Eastern		reforms_polybian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_200		rom_Hellenistic		reforms_polybian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_200		rom_Roman		reforms_polybian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_300		rom_Barbarian		reforms_polybian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_300		rom_Eastern		reforms_polybian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_300		rom_Hellenistic		reforms_polybian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_300		rom_Roman		reforms_polybian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_101		rom_Barbarian		reforms_marian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_101		rom_Eastern		reforms_marian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_101		rom_Hellenistic		reforms_marian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_101		rom_Roman		reforms_marian_player	rom_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_201		rom_Barbarian		reforms_marian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_201		rom_Eastern		reforms_marian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_201		rom_Hellenistic		reforms_marian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_201		rom_Roman		reforms_marian_global	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_301		rom_Barbarian		reforms_marian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_301		rom_Eastern		reforms_marian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_301		rom_Hellenistic		reforms_marian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_301		rom_Roman		reforms_marian_mp	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_102		rom_Barbarian		reforms_imperial_player	rom_army_up.png	roman_imperial.png	campaign_ui_message_positive
custom_event_102		rom_Eastern		reforms_imperial_player	rom_army_up.png	roman_imperial.png	campaign_ui_message_positive
custom_event_102		rom_Hellenistic		reforms_imperial_player	rom_army_up.png	roman_imperial.png	campaign_ui_message_positive
custom_event_102		rom_Roman		reforms_imperial_player	rom_army_up.png	roman_imperial.png	campaign_ui_message_positive
custom_event_202		rom_Barbarian		reforms_imperial_global	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_202		rom_Eastern		reforms_imperial_global	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_202		rom_Hellenistic		reforms_imperial_global	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_202		rom_Roman		reforms_imperial_global	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_302		rom_Barbarian		reforms_imperial_mp	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_302		rom_Eastern		reforms_imperial_mp	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_302		rom_Hellenistic		reforms_imperial_mp	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_302		rom_Roman		reforms_imperial_mp	rom_faction.png	roman_imperial.png	campaign_ui_message_neutral
custom_event_110		rom_Barbarian		reforms_thureos_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_110		rom_Eastern		reforms_thureos_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_110		rom_Hellenistic		reforms_thureos_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_110		rom_Roman		reforms_thureos_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_210		rom_Barbarian		reforms_thureos_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_210		rom_Eastern		reforms_thureos_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_210		rom_Hellenistic		reforms_thureos_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_210		rom_Roman		reforms_thureos_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_310		rom_Barbarian		reforms_thureos_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_310		rom_Eastern		reforms_thureos_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_310		rom_Hellenistic		reforms_thureos_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_310		rom_Roman		reforms_thureos_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_111		rom_Barbarian		reforms_thorax_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_111		rom_Eastern		reforms_thorax_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_111		rom_Hellenistic		reforms_thorax_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_111		rom_Roman		reforms_thorax_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_211		rom_Barbarian		reforms_thorax_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_211		rom_Eastern		reforms_thorax_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_211		rom_Hellenistic		reforms_thorax_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_211		rom_Roman		reforms_thorax_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_311		rom_Barbarian		reforms_thorax_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_311		rom_Eastern		reforms_thorax_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_311		rom_Hellenistic		reforms_thorax_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_311		rom_Roman		reforms_thorax_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_120		rom_Barbarian		reforms_carthage_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_120		rom_Eastern		reforms_carthage_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_120		rom_Hellenistic		reforms_carthage_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_120		rom_Roman		reforms_carthage_player	greek_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_220		rom_Barbarian		reforms_carthage_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_220		rom_Eastern		reforms_carthage_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_220		rom_Hellenistic		reforms_carthage_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_220		rom_Roman		reforms_carthage_global	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_320		rom_Barbarian		reforms_carthage_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_320		rom_Eastern		reforms_carthage_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_320		rom_Hellenistic		reforms_carthage_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_320		rom_Roman		reforms_carthage_mp	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_130		rom_Barbarian		reforms_neitos_gaul_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_130		rom_Eastern		reforms_neitos_gaul_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_130		rom_Hellenistic		reforms_neitos_gaul_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_130		rom_Roman		reforms_neitos_gaul_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_230		rom_Barbarian		reforms_neitos_gaul_global	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_230		rom_Eastern		reforms_neitos_gaul_global	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_230		rom_Hellenistic		reforms_neitos_gaul_global	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_230		rom_Roman		reforms_neitos_gaul_global	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_330		rom_Barbarian		reforms_neitos_gaul_mp	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_330		rom_Eastern		reforms_neitos_gaul_mp	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_330		rom_Hellenistic		reforms_neitos_gaul_mp	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_330		rom_Roman		reforms_neitos_gaul_mp	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
custom_event_140		rom_Barbarian		reforms_neitos_german_player	barb_army_up.png	germanic_neitos.png	campaign_ui_message_positive
custom_event_140		rom_Eastern		reforms_neitos_german_player	barb_army_up.png	germanic_neitos.png	campaign_ui_message_positive
custom_event_140		rom_Hellenistic		reforms_neitos_german_player	barb_army_up.png	germanic_neitos.png	campaign_ui_message_positive
custom_event_140		rom_Roman		reforms_neitos_german_player	barb_army_up.png	germanic_neitos.png	campaign_ui_message_positive
custom_event_240		rom_Barbarian		reforms_neitos_german_global	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_240		rom_Eastern		reforms_neitos_german_global	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_240		rom_Hellenistic		reforms_neitos_german_global	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_240		rom_Roman		reforms_neitos_german_global	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_340		rom_Barbarian		reforms_neitos_german_mp	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_340		rom_Eastern		reforms_neitos_german_mp	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_340		rom_Hellenistic		reforms_neitos_german_mp	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_340		rom_Roman		reforms_neitos_german_mp	barb_faction.png	germanic_neitos.png	campaign_ui_message_neutral
custom_event_150		rom_Barbarian		reforms_loricati_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_150		rom_Eastern		reforms_loricati_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
custom_event_150		rom_Hellenistic		reforms_loricati_player	barb_army_up.png	rom_event_message.png	campaign_ui_message_positive
