key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	pause_battle	priority_level	high_verbosity_only	locatable	parameter	on_display_script	on_click_script	suppressible	uninhibitable	audio_clip	advisor_name	for_loading_screen	movie_link
#advice_levels_tables;3;db/advice_levels_tables/@Timbe_DeI_advice_levels																					
500060	Region.60.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500080	Region.80.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500000	Region.0.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500001	Region.1.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500059	Region.59.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500079	Region.79.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500002	Region.2.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500058	Region.58.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500078	Region.78.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500003	Region.3.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500057	Region.57.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500077	Region.77.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500004	Region.4.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500056	Region.56.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500076	Region.76.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500095	Region.95.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500005	Region.5.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500055	Region.55.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500075	Region.75.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500094	Region.94.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500006	Region.6.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500054	Region.54.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500074	Region.74.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500093	Region.93.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500007	Region.7.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500053	Region.53.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500073	Region.73.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500092	Region.92.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500008	Region.8.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500052	Region.52.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500072	Region.72.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500091	Region.91.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500009	Region.9.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500051	Region.51.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500071	Region.71.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500090	Region.90.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500010	Region.10.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500050	Region.50.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500070	Region.70.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500089	Region.89.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500011	Region.11.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500049	Region.49.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500069	Region.69.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500088	Region.88.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500012	Region.12.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500048	Region.48.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500068	Region.68.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500087	Region.87.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500013	Region.13.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500047	Region.47.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500067	Region.67.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500086	Region.86.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500014	Region.14.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500046	Region.46.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500066	Region.66.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500085	Region.85.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500015	Region.15.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500045	Region.45.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500065	Region.65.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500084	Region.84.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500016	Region.16.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500044	Region.44.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500064	Region.64.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500083	Region.83.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500017	Region.17.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500043	Region.43.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500063	Region.63.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500082	Region.82.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500018	Region.18.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500042	Region.42.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500062	Region.62.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
500081	Region.81.Acquire	1	1	Scripted	Scripted	Scripted	0	1	false	1	false	false	none			false	false	n	inv_advisor_livy	false	
